feature,importance
num__review_content_length,0.10566363974468011
num__discounted_price,0.09133562909150143
num__product_name_length,0.08705966131082174
num__about_product_length,0.08444819686113388
num__discount_value,0.0816528828236788
num__actual_price,0.07976554887764077
num__review_title_length,0.07937624482298249
num__discount_percentage,0.07291550851216302
num__rating,0.06853107956346594
cat__main_category_Home&Kitchen,0.026561097039598747
cat__main_category_Electronics,0.022587413577370062
"cat__sub_category_1_Headphones,Earbuds&Accessories",0.015907950207759043
cat__sub_category_1_Accessories,0.012983653174293518
"cat__sub_category_1_HomeTheater,TV&Video",0.011495050707141097
cat__discount_range_medium,0.010869028193878444
cat__sub_category_1_Mobiles&Accessories,0.010357595056501478
cat__price_range_medium,0.009566912523897091
cat__discount_range_high,0.009464744456002264
cat__main_category_Computers&Accessories,0.009344926411795774
cat__discount_range_low,0.009121356375076483
cat__sub_category_1_Accessories&Peripherals,0.008770480500864696
cat__sub_category_1_Kitchen&HomeAppliances,0.008634442154504963
cat__sub_category_1_ExternalDevices&DataStorage,0.008484114774866599
cat__price_range_premium,0.008479162614086247
cat__sub_category_1_WearableTechnology,0.008330845156980808
cat__price_range_very_low,0.00827854421772718
cat__price_range_low,0.008256954746667313
cat__sub_category_1_NetworkingDevices,0.0079420232215925
cat__discount_range_very_low,0.0051221192696341055
cat__discount_range_very_high,0.004434976504006041
cat__price_range_high,0.004284254877910959
"cat__sub_category_1_Heating,Cooling&AirQuality",0.004270409397322257
cat__sub_category_1_HomeAudio,0.002977204402194087
cat__sub_category_1_Cameras&Photography,0.002491469937597549
cat__main_category_OfficeProducts,0.0020647270004000053
cat__sub_category_1_GeneralPurposeBatteries&BatteryChargers,0.0017474190762953295
cat__sub_category_1_Kitchen&Dining,0.0013657506502524422
cat__sub_category_1_OfficePaperProducts,0.0013159727618082978
"cat__sub_category_1_Printers,Inks&Accessories",0.0010935393415285157
cat__sub_category_1_Microphones,0.0005340302398621263
cat__main_category_MusicalInstruments,0.0003754069437297322
cat__sub_category_1_Components,0.00035432472446627516
cat__sub_category_1_HomeStorage&Organization,0.00030159939771351907
cat__sub_category_1_PowerAccessories,0.0002909124418412235
cat__sub_category_1_Monitors,0.00016895933787972894
cat__sub_category_1_OfficeElectronics,0.00012606619127955
cat__main_category_Health&PersonalCare,0.0001075238784068729
cat__sub_category_1_Tablets,9.932638846933116e-05
cat__sub_category_1_CraftMaterials,9.402446583466181e-05
cat__sub_category_1_Arts&Crafts,5.1265605991524814e-05
