column,count,unique,top,freq,mean,std,min,25%,50%,75%,max
product_id,1465,1351,B08WRWPM22,3,,,,,,,
product_name,1465,1337,"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with Bluetooth Calling, AI Voice Assistance, 100 Sports Modes IP67 Rating, 240*280 Pixel High Resolution",5,,,,,,,
category,1465,211,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,233,,,,,,,
discounted_price,1465.0,,,,3125.3108737201364,6944.304394400705,39.0,325.0,799.0,1999.0,77990.0
actual_price,1465.0,,,,5444.990634812287,10874.826864024224,39.0,800.0,1650.0,4295.0,139900.0
discount_percentage,1465.0,,,,47.69146757679181,21.635905180856668,0.0,32.0,50.0,63.0,94.0
rating,1464.0,,,,4.096584699453552,0.2916740794521227,2.0,4.0,4.1,4.3,5.0
rating_count,1465.0,,,,18270.564505119455,42729.9953152285,0.0,1173.0,5178.0,17325.0,426973.0
about_product,1465,1293,"[CHARGE & SYNC FUNCTION]- This cable comes with charging & Data sync function|[HIGH QUALITY MATERIAL]- TPE + Nylon Material to make sure that the life of the cable is enhanced significantly|[LONG CORD]- The Cable is extra thick 1.2 meter long, optimized for an easy use for your comfort at home or office|[MORE DURABLE]-This cable is unique interms of design and multi-use and is positioned to provide the best comfort and performance while using|[UNIVERSAL COMPATIBILITY]- Compatible with all devices like iPhone XS, X, XR, 8, 7, 6S, 6, 5S, iPad Pro, iPad mini and iPad Air",6,,,,,,,
user_id,1465,1194,"AHIKJUDTVJ4T6DV6IUGFYZ5LXMPA,AE55KTFVNXYFD5FPYWP2OUPEYNPQ,AEBWA5I4QFCA3P3OBEPMELBGN4GQ,AHMGAC6QM62UXNEOCZIHLHSXPP2Q,AFHROSCGIXUPV3FYQ7H5QOD46Q7Q,AEAMIR3CMSA32IDEINSJKHRNANTA,AF355FTXYAKFH5NYPRTE7SL3WO3Q,AG5DWPD54QGSLWJ6QUFERLPNAX4Q",10,,,,,,,
user_name,1465,1194,"$@|\|TO$|-|,Sethu madhav,Akash Thakur,Burger Planet,Justice ⚖️,indrajyoti d.,Aditya Kumar,E.C.GEORGE",10,,,,,,,
review_id,1465,1194,"R3F4T5TRYPTMIG,R3DQIEC603E7AY,R1O4Z15FD40PV5,RDVX50PD4CTFE,R3H6WKG0TA5CGU,R3Q3L1KP5QWPV3,RU0LU2PAIIME,R20FTANBPFA653",10,,,,,,,
review_title,1465,1194,"Worked on iPhone 7 and didn’t work on XR,Good one,Dull Physical Looks,Just Buy it,Go for it,About the product,Get charging cable at the price,Working well.",10,,,,,,,
review_content,1465,1212,"I am not big on camera usage, personally. I was even mentally prepared for a bad camera, based on some reviews here. But I was pleasantly surprised that camera clicks good photos. They are not awesome, but they are decent photos that can even be shared.Now coming to my biggest grouse; heating issue. The phone started heating up while charging, but it was just a little and so I could have ignored it. But then it started heating up more and got me very concerned. I even ordered a replacement thinking I got a defective piece. But then, after further tests, I found that it is heating more when I download huge amounts of data, for example, when I restore data of my old phone, from back up. This is ok with me as, I don't perform huge data loads regularly, definitely not on phone. Then I tested by running tasks I usually perform such as checking office mails, attending office meeting on phone, watching a video from Amazon Prime, and so on. The phone did not heat up even a little. Personally, this is good for me.At this price range, this is a good phone. But if you are camera heavy user and expect to perform heavy downloads frequently, this phone may not for you. I am personally satisfied with this phone as it works for my type of usage. I will not go into plus points of this phone as they are covered by other reviews already. I am only attempting to clarify about how this phone can suit you (or not) in terms of camera and heating. I had many questions about these aspects before buying. Perhaps this review will help you make an informed decision to buy (or avoid). Cheers.,Display - BeautyCamera - decentPerformance - AmazingBattery - ok (in 5000mah u expect more tbh)Overall good phone...Also after 1day of use, i found some network connectivity issue in my jiosim, which I'm using right now in this phone, but I'll keep update this review after 1month of usage!,It's a decent mobile under this price but few things worried me , weight of the phone, too many procedure to change some settings, no screen casting. Apart from that it has good touch, a decent camera for day light , battery life is good.,I bought this smartphone for my mom. Samusung interface is very handful for easy use. Battery is superb, last whole day. Camera is mediocre but provide original colour pictures. All in all satisfied with this smartphone that i got in sale for 9499.,Unable to do video call within same service provider as in VOLTE within same service provider video call feature is available.,Product is fine. Nothing Fancy but for the budget it is a good phone.,BATTERY : more than enough for normal use Not sure in gamingCAMERA : good in this segment , can record videos in FHD 30fpsDISPLAY : since it's a LCD display the quality is a bit less , but goodV RAM : you can add upto 2gb of virtual ram but have to sacrifice your storage Space to use it OVERALL A GOOD BUDGET PHONE,Finger print is working speedy battery backup is good camera quality is also good",8,,,,,,,
img_link,1465,1412,https://m.media-amazon.com/images/I/413sCRKobNL._SX300_SY300_QL70_ML2_.jpg,3,,,,,,,
product_link,1465,1465,https://www.amazon.in/Borosil-Jumbo-1000-Watt-Grill-Sandwich/dp/B01486F4G6/ref=sr_1_506?qid=1672923617&s=kitchen&sr=1-506,1,,,,,,,
main_category,1465,9,Electronics,526,,,,,,,
sub_category_1,1465,29,Accessories&Peripherals,381,,,,,,,
sub_category_2,1457,71,Cables&Accessories,240,,,,,,,
discount_value,1465.0,,,,2319.6797610921503,4604.473789776238,0.0,371.0,800.0,1953.0,61910.0
log_rating_count,1465.0,,,,8.29150631837448,2.049123456024606,0.0,7.068172000388042,8.552367266423891,9.759963542450086,12.964478400427152
product_name_length,1465.0,,,,128.4184300341297,51.63249245957596,16.0,85.0,128.0,175.0,485.0
about_product_length,1465.0,,,,728.8163822525597,445.76186823691125,5.0,405.0,645.0,977.0,2646.0
review_title_length,1465.0,,,,181.91058020477817,55.57430710913452,7.0,140.0,176.0,217.0,407.0
review_content_length,1465.0,,,,1394.1378839590443,1823.4917957960995,67.0,505.0,823.0,1388.0,18547.0
