term,count
good,8181
product,5196
you,3390
but,3356
not,3328
quality,2735
very,2509
cable,2283
can,2024
your,1985
use,1984
have,1926
charging,1584
one,1540
price,1466
nice,1442
usb,1430
easy,1413
all,1393
phone,1275
like,1211
will,1201
has,1172
which,1160
also,1154
best,1126
its,1120
more,1044
only,1027
time,1001
fast,998
battery,984
money,975
using,973
watch,960
after,932
other,912
well,897
any,875
just,871
great,866
power,840
when,828
working,819
buy,818
value,812
speed,804
sound,790
warranty,782
works,740
