term,count
good,7208
product,5252
not,3123
you,2821
but,2730
quality,2430
very,2422
use,1982
cable,1945
can,1893
your,1727
have,1521
easy,1476
nice,1404
one,1398
charging,1342
price,1232
usb,1174
all,1163
will,1073
like,1003
best,982
money,974
also,952
only,929
which,926
its,879
water,857
after,850
fast,849
has,846
working,836
time,831
power,820
using,801
well,800
more,800
value,791
just,779
when,756
any,745
buy,738
other,727
great,727
works,701
phone,680
warranty,670
high,664
amazon,649
used,624
