term,count
good,10451
product,6818
not,4658
you,4343
but,4314
quality,3537
very,3280
can,2689
cable,2632
use,2632
your,2574
have,2363
one,2020
charging,1893
price,1878
nice,1874
easy,1791
all,1728
usb,1720
will,1563
phone,1532
like,1518
also,1486
which,1466
has,1433
best,1418
its,1405
only,1350
battery,1301
time,1286
money,1285
more,1259
after,1238
watch,1216
using,1173
fast,1162
working,1149
well,1122
just,1115
power,1109
other,1099
any,1094
when,1086
sound,1080
great,1046
buy,1045
value,1038
water,1019
warranty,971
works,954
