group,term,mean_tfidf
nao_popular,good,0.22229155181623744
nao_popular,product,0.1721542569118338
nao_popular,cable,0.09362974865786688
nao_popular,quality,0.08618116753900988
nao_popular,use,0.08285708029078556
nao_popular,easy,0.07732798849827197
nao_popular,nice,0.0684042169074397
nao_popular,charging,0.06670593070051008
nao_popular,good product,0.06585475549863642
nao_popular,water,0.059942749721299614
nao_popular,usb,0.057723043130215805
nao_popular,price,0.05231661913297594
nao_popular,tv,0.052276088329523504
nao_popular,money,0.04908062769252843
nao_popular,best,0.04782005914120978
nao_popular,power,0.046508602125594864
nao_popular,product good,0.045311186067705865
nao_popular,value,0.0449039467041635
nao_popular,like,0.04461630338433847
nao_popular,working,0.044426903417238234
nao_popular,fast,0.04112117421658836
nao_popular,value money,0.04098373809378431
nao_popular,easy use,0.04094258015894836
nao_popular,buy,0.039314114196163465
nao_popular,works,0.03903822311806761
nao_popular,time,0.038858549296230095
nao_popular,remote,0.03871702401825176
nao_popular,warranty,0.038584810205790694
nao_popular,great,0.03798108258526562
nao_popular,just,0.0369606427916
popular,good,0.22380550884984315
popular,product,0.12521401320208606
popular,cable,0.09784362591709511
popular,watch,0.09201087600109528
popular,phone,0.09178304388681663
popular,quality,0.09035375024709306
popular,battery,0.08583768375164427
popular,camera,0.07965397115860784
popular,usb,0.07807736364841325
popular,sound,0.07502844428471094
popular,charging,0.07299986202755172
popular,speed,0.06404891150130669
popular,price,0.0609841713217845
popular,nice,0.05597223195287351
popular,use,0.054219155341277483
popular,good product,0.05319830007886374
popular,best,0.04841470106324462
popular,like,0.04669913220969819
popular,time,0.04481618918354442
popular,fast,0.044432731340749584
popular,type,0.042858901248728966
popular,warranty,0.04163730921418432
popular,range,0.04120501463708793
popular,using,0.041197241427149006
popular,tv,0.0397255473185672
popular,working,0.03943101267618255
popular,performance,0.039192139781319336
popular,great,0.03891754104448095
popular,mouse,0.03891379429852411
popular,display,0.03859188260261744
