term,mean_tfidf
good,0.2488833684359453
product,0.18097405870184294
cable,0.10274325961816388
quality,0.09845916230571311
use,0.0854432397940062
easy,0.07609687018083164
charging,0.0744946836592866
nice,0.07318007710584297
good product,0.06989747996664665
usb,0.06805004712627018
price,0.060831554592064074
water,0.05628612487875122
tv,0.054147224018975
best,0.053825335555386815
phone,0.05333540794479524
battery,0.05231946129874404
money,0.05177525550700101
like,0.051230711619666025
power,0.049989210001754575
sound,0.04975502547454114
product good,0.04870342730343109
working,0.04844226413391637
value,0.046807106547842134
speed,0.04647971763621759
fast,0.04639380076761948
time,0.045997007562941054
watch,0.04481896441017559
warranty,0.044572351867665165
buy,0.043304826557822536
value money,0.04295337277387794
great,0.04263080635968667
works,0.042218571772603124
using,0.04152308682564177
just,0.041081945024332406
high,0.03983082679505793
ok,0.039751603682801055
easy use,0.039207436506709124
type,0.03867822949601489
used,0.0383068758202431
good quality,0.037712323970571955
nice product,0.037701038787368094
amazon,0.03765170523262205
camera,0.03736903386688683
design,0.0366670562635689
worth,0.03623491788611113
charge,0.036046980156008206
remote,0.03481140011259558
10,0.0336747264964647
better,0.03339416261792396
small,0.03337919703663591
